"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","PENDING","2019-10-27T21:58:06.618+02:00[Europe/Helsinki]","0.0","8.41"
"Swagger store inventory get endpoint check","Check inventory in the SwaggerPetStore using Get call","ERROR","2019-10-27T21:58:16.053+02:00[Europe/Helsinki]","0.0","0.08"
